Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 11Aug2015,72274,-4.13,293.78,37.10,53.40,1383.09,270.40,293.49,288.33

12Z 12Aug2015,72274,-1.03,186.42,34.70,50.00,86.57,15.06,24.01,284.68

12Z 13Aug2015,72274,1.85,126.01,27.70,45.40,34.07,5.04,18.48,283.93

12Z 14Aug2015,72274,-2.21,222.39,35.50,52.60,94.87,7.33,8.88,280.89

12Z 15Aug2015,72274,0.05,137.19,33.30,48.40,117.24,75.03,138.01,282.11

12Z 16Aug2015,72274,-2.16,207.21,38.70,50.20,671.96,25.21,28.38,286.28

12Z 17Aug2015,72274,-5.34,316.80,43.30,54.40,1421.32,49.46,52.87,288.04

12Z 18Aug2015,72274,-0.52,190.20,37.70,46.80,558.69,19.79,25.55,287.82

12Z 19Aug2015,72274,2.39,153.78,20.90,43.00,145.47,30.14,43.48,283.57

12Z 20Aug2015,72274,-2.69,219.99,18.50,50.00,1243.00,209.84,241.94,287.69

12Z 21Aug2015,72274,-4.32,278.81,33.90,52.00,1839.07,338.19,373.52,289.70

12Z 22Aug2015,72274,-4.54,267.19,35.70,51.20,1967.83,1006.39,1118.28,289.61

12Z 23Aug2015,72274,-1.30,171.99,33.70,49.40,133.22,4.63,7.11,286.35

12Z 24Aug2015,72274,-2.22,211.78,35.90,51.00,448.65,13.92,15.68,285.70

12Z 25Aug2015,72274,-0.36,191.20,36.40,47.00,84.27,2.81,3.39,287.05

12Z 26Aug2015,72274,-3.76,282.21,38.30,52.40,696.80,47.39,55.31,287.79

12Z 27Aug2015,72274,-0.83,143.37,34.50,49.60,462.51,147.05,174.52,286.75

12Z 28Aug2015,72274,-0.36,159.38,32.90,47.40,217.03,19.16,25.66,286.28

12Z 29Aug2015,72274,-0.56,135.37,35.30,49.20,44.08,14.24,36.34,282.30

12Z 30Aug2015,72274,-0.46,146.98,33.50,49.00,58.38,4.09,4.95,282.41

12Z 01Sep2015,72274,-2.14,195.61,39.60,48.80,162.34,5.12,7.34,287.50

12Z 02Sep2015,72274,-4.29,290.01,42.60,54.60,992.94,76.01,81.71,286.02

12Z 03Sep2015,72274,-2.42,217.59,38.80,51.00,696.83,94.12,102.49,285.61

12Z 04Sep2015,72274,0.21,193.60,34.10,45.60,88.07,22.56,30.95,287.99

12Z 05Sep2015,72274,-0.78,213.01,37.40,46.60,486.10,9.97,11.33,289.60

12Z 06Sep2015,72274,-0.89,180.81,37.80,48.20,267.95,9.57,12.33,287.18

12Z 07Sep2015,72274,-3.12,243.19,39.10,52.00,267.78,168.02,194.99,286.41

12Z 08Sep2015,72274,-2.63,238.01,39.30,51.60,432.73,47.27,54.11,285.94

12Z 09Sep2015,72274,1.57,164.20,33.50,43.80,0.00,0.00,0.00,284.51

12Z 10Sep2015,72274,0.70,153.00,33.30,46.60,432.13,91.69,102.93,287.88

12Z 11Sep2015,72274,1.33,142.39,34.80,45.20,457.50,94.28,110.88,289.24

12Z 12Sep2015,72274,-4.94,319.61,39.50,55.40,816.79,117.92,133.98,287.41

12Z 13Sep2015,72274,-3.58,271.00,35.10,55.20,474.99,116.62,129.69,284.28

12Z 14Sep2015,72274,0.41,163.38,36.30,46.40,52.30,2.40,4.18,285.39

12Z 15Sep2015,72274,-1.72,379.47,37.80,46.40,1217.05,35.55,42.66,289.95

12Z 16Sep2015,72274,0.01,257.98,30.30,42.20,977.58,15.75,20.86,290.47

12Z 17Sep2015,72274,0.80,219.21,22.70,42.20,156.07,2.74,3.63,286.97

12Z 18Sep2015,72274,2.84,144.60,24.50,42.40,0.00,0.00,0.00,282.73

12Z 19Sep2015,72274,1.18,104.20,33.50,46.80,0.00,0.00,0.00,278.30

12Z 20Sep2015,72274,1.10,150.39,31.70,45.00,21.46,0.48,0.72,285.12

12Z 21Sep2015,72274,-2.20,227.18,32.70,48.20,405.01,11.87,13.59,288.92

12Z 22Sep2015,72274,0.89,233.21,36.40,43.10,304.64,2.89,4.70,289.75

12Z 23Sep2015,72274,0.30,192.60,29.10,44.60,852.30,51.34,63.12,290.24

12Z 24Sep2015,72274,1.17,183.19,33.70,43.20,195.38,20.76,33.60,288.02

12Z 25Sep2015,72274,10.78,79.00,11.70,29.20,0.00,0.00,0.00,270.91

12Z 26Sep2015,72274,6.01,177.59,22.10,36.60,0.00,0.00,0.00,280.59

12Z 27Sep2015,72274,6.37,90.81,14.50,37.20,0.00,0.00,0.00,276.31

12Z 28Sep2015,72274,2.33,156.39,29.50,42.60,0.00,0.00,0.00,284.08

12Z 29Sep2015,72274,3.53,99.87,25.30,42.00,0.00,0.00,0.00,280.12

12Z 30Sep2015,72274,4.69,104.98,24.50,40.00,0.00,0.00,0.00,277.24

12Z 01Oct2015,72274,7.38,54.41,19.50,35.60,0.00,0.00,0.00,274.42

12Z 02Oct2015,72274,6.73,75.01,21.50,37.00,0.00,0.00,0.00,275.65

12Z 03Oct2015,72274,1.22,138.99,28.10,47.20,9.55,0.07,0.14,279.37

12Z 04Oct2015,72274,1.23,189.41,35.80,44.80,73.28,0.72,1.10,282.74

12Z 05Oct2015,72274,-1.69,222.61,36.40,50.20,626.75,7.33,8.78,285.34

12Z 06Oct2015,72274,1.35,247.57,30.20,45.70,167.61,3.37,4.33,282.99

12Z 07Oct2015,72274,-1.76,215.80,33.90,52.10,756.34,31.09,34.06,286.06

12Z 08Oct2015,72274,0.00,148.40,30.30,50.20,0.95,0.01,0.04,281.49

12Z 09Oct2015,72274,1.84,158.62,33.10,45.80,42.95,2.39,2.79,280.00

12Z 10Oct2015,72274,1.50,185.59,20.90,45.20,0.00,0.00,0.00,281.36

12Z 11Oct2015,72274,1.26,135.80,36.30,45.80,0.00,0.00,0.00,281.73

12Z 12Oct2015,72274,1.46,139.78,28.10,45.40,0.00,0.00,0.00,283.12

12Z 13Oct2015,72274,2.99,153.00,26.50,42.00,0.00,0.00,0.00,283.31

12Z 14Oct2015,72274,2.82,119.99,26.90,43.80,0.00,0.00,0.00,281.32

12Z 15Oct2015,72274,-0.27,108.18,28.30,50.40,0.00,0.00,0.00,277.61

12Z 16Oct2015,72274,-0.25,150.61,34.10,49.60,1.55,0.04,0.18,280.19

12Z 17Oct2015,72274,0.98,131.20,30.50,47.80,21.72,0.19,0.23,282.73

12Z 18Oct2015,72274,1.79,133.20,33.00,45.80,100.35,1.99,3.49,283.89

12Z 19Oct2015,72274,-4.97,464.55,26.60,54.10,2042.20,42.03,46.08,288.42

12Z 20Oct2015,72274,-4.31,334.21,20.60,55.30,1514.75,20.39,22.38,285.70

12Z 21Oct2015,72274,-1.28,217.62,35.40,51.50,710.98,23.56,24.82,285.87

12Z 22Oct2015,72274,2.85,110.20,27.30,45.40,8.33,0.08,0.69,282.88

12Z 23Oct2015,72274,-0.36,169.20,25.90,51.60,0.00,0.00,0.00,280.30

12Z 24Oct2015,72274,7.91,84.99,3.90,35.80,0.00,0.00,0.00,278.59

12Z 25Oct2015,72274,5.21,133.39,18.10,39.80,0.00,0.00,0.00,278.30

12Z 26Oct2015,72274,1.91,133.41,32.60,45.80,0.00,0.00,0.00,278.88

