anio,mes,dia,hora(utc),altura(mm)
2016,2,14,4,2187 
2016,2,14,5,1418 
2016,2,14,6,867 
2016,2,14,7,667 
2016,2,14,8,811 
2016,2,14,9,1233 
2016,2,14,10,1870 
2016,2,14,11,2571 
2016,2,14,12,3124 
2016,2,14,13,3391 
2016,2,14,14,3308 
2016,2,14,15,2880 
2016,2,14,16,2205 
2016,2,14,17,1424 
2016,2,14,18,718 
2016,2,14,19,300 
2016,2,14,20,253 
2016,2,14,21,490 
2016,2,14,22,955 
2016,2,14,23,1621 
2016,2,15,0,2350 
2016,2,15,1,2944 
2016,2,15,2,3273 
